No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|Year
1|04/01/2021|Vente|355150,00|382.0|AV|0276|JEAN PAUL COSTE|13100.0|AIX EN PROVENCE|13|1||BS|5|195.0|1|3.0|Dépendance|0.0|0.0|2021
1|04/01/2021|Vente|355150,00|9001.0|RES|A016|LE BEL ORMEAU|13100.0|AIX EN PROVENCE|13|1||BS|5|613.0|1|2.0|Appartement|82.0|4.0|2021
1|05/01/2021|Vente|235700,00|10.0|RUE|0260|BEDARRIDES|13100.0|AIX EN PROVENCE|13|1||AB|398|8.0|1|2.0|Appartement|47.0|2.0|2021
1|05/01/2021|Vente|600000,00|1287.0||B029|PETIT CABRIES|13100.0|LE THOLONET|13|109||B|1786||0|3.0|Dépendance|0.0|0.0|2021
1|05/01/2021|Vente|600000,00|1287.0||B029|PETIT CABRIES|13100.0|LE THOLONET|13|109||B|1786||0|3.0|Dépendance|0.0|0.0|2021
1|05/01/2021|Vente|25000,00|9001.0|RES|A200|L OLIVERAIE|13100.0|AIX EN PROVENCE|13|1||BM|98|314.0|1|3.0|Dépendance|0.0|0.0|2021
1|08/01/2021|Vente|496000,00|11.0|LOT|A053|LA MARTELIERE|13100.0|LE THOLONET|13|109||B|1223||0|1.0|Maison|88.0|4.0|2021
1|18/01/2021|Vente|72000,00|18.0|BD|2670|DU ROI RENE|13100.0|AIX EN PROVENCE|13|1||BZ|1|302.0|1|2.0|Appartement|56.0|1.0|2021
1|18/01/2021|Vente|72000,00|18.0|BD|2670|DU ROI RENE|13100.0|AIX EN PROVENCE|13|1||BZ|1|247.0|1|2.0|Appartement|30.0|1.0|2021
1|05/01/2021|Vente|281050,00|3.0|AV|0270|DES BELGES|13100.0|AIX EN PROVENCE|13|1||AN|19|21.0|2|2.0|Appartement|58.0|3.0|2021
1|05/01/2021|Vente|729300,00|8.0|RUE|0888|EMILE TAVAN|13100.0|AIX EN PROVENCE|13|1||AR|155|18.0|1|2.0|Appartement|80.0|3.0|2021
1|05/01/2021|Vente|729300,00|8.0|RUE|0888|EMILE TAVAN|13100.0|AIX EN PROVENCE|13|1||AR|155|9.0|1|3.0|Dépendance|0.0|0.0|2021
1|06/01/2021|Vente|1420000,00|105.0|CHEM|2428|POILROUX HAUT|13100.0|AIX EN PROVENCE|13|1||EC|55||0|3.0|Dépendance|0.0|0.0|2021
1|06/01/2021|Vente|1420000,00|105.0|CHEM|2428|POILROUX HAUT|13100.0|AIX EN PROVENCE|13|1||EC|55||0|1.0|Maison|200.0|5.0|2021
1|06/01/2021|Vente|1420000,00|||B468|LES TROIS BONS DIEUX NORD|13100.0|AIX EN PROVENCE|13|1||EC|180||0|||||2021
1|07/01/2021|Vente|198000,00|7.0|SQ|0021|CAMILLE COROT|13100.0|LE THOLONET|13|109||A|1988||0|3.0|Dépendance|0.0|0.0|2021
1|07/01/2021|Vente|198000,00|7.0|SQ|0006|ALFRED SISLEY|13100.0|LE THOLONET|13|109||A|2031||0|1.0|Maison|88.0|4.0|2021
1|07/01/2021|Vente|300000,00|23.0|RUE|0801|DE CUQUES|13100.0|AIX EN PROVENCE|13|1||BV|10|129.0|1|3.0|Dépendance|0.0|0.0|2021
1|07/01/2021|Vente|300000,00|23.0|RUE|0801|DE CUQUES|13100.0|AIX EN PROVENCE|13|1||BV|10|46.0|2|2.0|Appartement|67.0|3.0|2021
1|15/01/2021|Vente|210000,00|160.0|RUE|0897|EDMOND HALLEY|13100.0|AIX EN PROVENCE|13|1||KV|133|19.0|1|3.0|Dépendance|0.0|0.0|2021
1|15/01/2021|Vente|210000,00|160.0|RUE|0897|EDMOND HALLEY|13100.0|AIX EN PROVENCE|13|1||KV|133|91.0|1|3.0|Dépendance|0.0|0.0|2021
1|15/01/2021|Vente|210000,00|160.0|RUE|0897|EDMOND HALLEY|13100.0|AIX EN PROVENCE|13|1||KV|133|116.0|1|2.0|Appartement|58.0|3.0|2021
1|08/01/2021|Echange|15000,00|40.0|RUE|4695|PROF CHRISTIAN CABROL|13100.0|AIX EN PROVENCE|13|1||KV|175|34.0|1|3.0|Dépendance|0.0|0.0|2021
